/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-04-28__VK_Реклама_алгоритмы,_фишки_и_ошибки_в_новом_кабинете_на_реальных_кейсах_обучени.txt	Faa-qqo6CPc	5527	Агентский-бизнес	VK-реклама-и-таргет	VK Реклама: алгоритмы, фишки и ошибки в новом кабинете на реальных кейсах — обучение алгоритма вместо узкого таргетинга, поиск рабочих связок, ставка на видеокреативы и сегментацию, AI-ассистент продаж
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-01-29__Почему_агентства_теряют_клиентов_и_как_этого_избежать.txt	agX2SaBknMk		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Почему агентства теряют клиентов и как этого избежать?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-02-10__Механики_масштабирования_и_AI-ассистент_продаж,_дожимающий_лиды.txt	lhCmtQwHpe0	3957	Агентский-бизнес	ИИ-и-автоматизация	Механики масштабирования и AI-ассистент продаж, дожимающий лиды
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-01-23__Пути_развития_digital-агентств_как_привлекать_клиентов_и_на_что_делать_ставку.txt	9a78LSsp690		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Пути развития digital-агентств: как привлекать клиентов и на что делать ставку?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-07-10__ИИ-агенты_+_трафик_как_агентству_добавить_услугу_и_увеличить_средний_чек_без_най.txt	PJK7V-OmOUk	1970	Агентский-бизнес	Агентский-бизнес-и-масштабирование	ИИ-агенты + трафик: как агентству добавить услугу и увеличить средний чек без найма
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-09-26__Как_агентству_регулярно_расти_в_доходах.txt	6pGQP-8Ks1E		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как агентству регулярно расти в доходах?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-07-10__Строим_систему_продаж_и_маркетинга_в_агентстве_для_роста_x2.txt	PJK7V-OmOUk	4781	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Строим систему продаж и маркетинга в агентстве для роста x2
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-03-19__Открытие_агентства_сколько_придется_работать_на_старте.txt	B3DAqchkWng		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Открытие агентства: сколько придется работать на старте?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-18__Как_сократить_путь_от_идеи_до_результата_в_3_раза.txt	4eHOTJer388		Агентский-бизнес	Стратегия-и-медиапланирование	Как сократить путь от идеи до результата в 3 раза?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-04__Стратегия_выживания_агентства_в_декабре-январе_удержание_клиентов,_рост_LTV,_про.txt	IJRJccZEr34	272	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Стратегия выживания агентства в декабре-январе: удержание клиентов, рост LTV, продажи через ценность
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-03-21__Постоянный_приток_сотрудников_в_агентство_за_счет_системы_стажировок.txt	PjrJ0yR-HWA		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Постоянный приток сотрудников в агентство за счет системы стажировок
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-16__Декабрь_глазами_digital-руководителя_как_не_утонуть_в_хаосе_и_сохранить_способно.txt	O3ZVomhmE48	0	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Декабрь глазами digital-руководителя: как не утонуть в хаосе и сохранить способность думать
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-03-19__Путь_от_ноунейм-агентства_до_партнёра_крупных_брендов_через_публикации_в_СМИ.txt	JlZpMu_HOB8	1853	Агентский-бизнес	PR-и-репутация	Путь от ноунейм-агентства до партнёра крупных брендов через публикации в СМИ
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-05-27__Как_устроена_партнёрская_программа_Vitamin.tools_уровни_реферальной_сети,_каналы.txt	031t4eMvPtk	159	Агентский-бизнес	Партнёрка-и-реферальные-сети	Как устроена партнёрская программа Vitamin.tools: уровни реферальной сети, каналы привлечения рефералов и маркетинговая поддержка
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-06-03__Как_создать_команду,_способную_на_50-кратный_прорыв.txt	_Grc0ImmAME	2934	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как создать команду, способную на 50-кратный прорыв
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-10-21__Фреймворк_стратегического_развития_на_OKR_как_сократить_путь_от_идеи_до_результа.txt	TYUjllOeEJo	6620	Агентский-бизнес	Стратегия-и-медиапланирование	Фреймворк стратегического развития на OKR: как сократить путь от идеи до результата
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-10-01__Как_увеличить_средний_чек_агентства_X2_без_поиска_новых_клиентов.txt	YU0qEwqQxyw		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как увеличить средний чек агентства X2 без поиска новых клиентов
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-06-03__3_кейса_агентств,_которые_внедрили_и_окупили_контент-маркетинг.txt	_Grc0ImmAME	278	Агентский-бизнес	Агентский-бизнес-и-масштабирование	3 кейса агентств, которые внедрили и окупили контент-маркетинг
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-04-02__Как_построить_сильную_команду_по_работе_с_трафиком_в_агентстве.txt	UANYpJBxGjg	4196	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как построить сильную команду по работе с трафиком в агентстве
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-24__Как_digital-агентству_выйти_на_30_млн+_в_2026_году.txt	KG9uVaLeteY		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как digital-агентству выйти на 30 млн+ в 2026 году
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-01-24__Агентство_с_первых_шагов_до_большой_команды.txt	9sbwQzdNY0A		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Агентство: с первых шагов до большой команды
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-04-02__Как_руководителю_не_стать_узким_горлышком_команды.txt	UANYpJBxGjg	6406	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как руководителю не стать «узким горлышком» команды
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-04-02__Роли_и_органиграмма_в_отделе_перформанса.txt	UANYpJBxGjg	340	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Роли и органиграмма в отделе перформанса
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-24__Декабрь_глазами_digital-руководителя_как_не_утонуть_в_хаосе_и_сохранить_способность_думать.txt	RLvKEmw7W4Y		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Декабрь глазами digital-руководителя: как не утонуть в хаосе и сохранить способность думать
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2024-09-27__Нужны_ли_digital-агентству_регламенты_для_сотрудников_Как_их_составить_и_внедрить.txt	vMydg54nxhQ		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Нужны ли digital-агентству регламенты для сотрудников? Как их составить и внедрить?
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-03-19__Как_агентству_привлекать_клиентов_через_выступления_и_спикерство.txt	JlZpMu_HOB8	3644	Агентский-бизнес	Личный-бренд-и-экспертность	Как агентству привлекать клиентов через выступления и спикерство
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2026-05-27__Партнёрка_как_актив,_а_не_подработка_принципы_построения_многомиллионной_реферал.txt	031t4eMvPtk	1841	Агентский-бизнес	Партнёрка-и-реферальные-сети	Партнёрка как актив, а не подработка: принципы построения многомиллионной реферальной сети через маркетинговые связки
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-04-10__Как_агентству_работать_с_клиентами,_чтобы_расти_кратно.txt	oLgcpVtviio		Агентский-бизнес	Агентский-бизнес-и-масштабирование	Как агентству работать с клиентами, чтобы расти кратно
/Users/n.scherbakov/vitamin-speaker-talks/work/../transcripts/Агентский-бизнес/2025-12-04__Декабрь_глазами_digital-руководителя_как_не_утонуть_в_хаосе_и_не_выгореть.txt	IJRJccZEr34	2472	Агентский-бизнес	Агентский-бизнес-и-масштабирование	Декабрь глазами digital-руководителя: как не утонуть в хаосе и не выгореть
