[[0:05 | t=5]] [музыка]
[[1:17 | t=77]] Добрый день всем, кто в прямом эфире. Меня зовут Егор. Я директор по маркетинговым коммуникациям Vitamin Tools. И сегодня цель нашей встречи - это получение полезных знаний с онлайн-конференции про альтернативные рекламные каналы. Простыми словами отвечаем сегодня на вопрос, где искать дешёвый трафик в 2025 году. И ладно бы дешёвый, самое главное, конечно же, окупаемый.
[[1:47 | t=107]] Виновники этой встречи, рекламная экосистема Витамин Tools и наш главный партнёр, без которого она бы не состоялась - это МТС. Начну как раз-таки с рассказа об организаторах. Витамин Tools возвращает до 18% от пополнения рекламных бюджетов. Также мы даём бесплатный доступ к рекламным инструментам для оптимизации рекламных кампаний, что тоже сильно позволяет повышать уровень окупаемости
[[2:18 | t=138]] трафика. И даём доступ к конструктору лендингов LPгенератор. У нас есть овердрафт, постоплата, помощь в прохождении модерации. От других компаний мы отличаемся именно тем, что возвращаем процент от пополнения рекламных бюджетов, а не от расходов на рекламу. У нас нет никаких платных подписок, платных тарифов. Можно просто свободно заходить и пользоваться, получая процент вознаграждения всеми нашими инструментами. Так уже и
[[2:50 | t=170]] поступили 9.000 клиентов. Более 9 млрд через нашу рекламную экосистему уже прошло как раз-таки на рекламные площадке, чтобы запускать платный трафик, собирать квалифицированные лиды и увеличивать продажи. И нам уже 6 лет совсем недавно исполнилось. Мы растём, развиваемся, продолжаем вас радовать потрясающим сервисом и, конечно же, полезными знаниями. Сегодня наш главный партнёр - это МТС Эцс. Но да, вот я вижу вопрос
[[3:23 | t=203]] про запись. Вопрос про запись задаёт Илья. Запись будет. Александр пишет с прошедшим. Спасибо. Спасибо. Подписывайтесь поэтому на наш YouTube канал. Запись будет опубликована там. И также вы сможете найти там записи наших предыдущих конференций, что тоже очень интересно на разные темы. Экспертные спикеры делятся своим опытом и своими кейсами. Также подписывайтесь на наш на нас в ВК. То же самое запись будет там. И предыдущие записи тоже уже
[[3:54 | t=234]] там доступны. А чтобы не пропускать анонсы наших будущих конференций, подписывайтесь на нас в Telegram. Вот сейчас как раз-таки можно просканировать QR-код, подписаться и всегда быть в курсе, что же устраивает Вита Tools, про что у них будут рассказывать в следующий раз, когда и кто. И переходим теперь к представлению нашего генерального партнёра МТС. Экосистема МТС - это самый большой
[[4:24 | t=264]] телекомператор. Экосистема сервисов, которыми пользуются миллионы маркетологов и ещё больше миллионов зарабатывают с помощью этой экосистемы. МТС номер один. Лидер по числу клиентов среди мобильных операторов России и вторая в России экосистема по количеству клиентов. Цифры впечатляющие. инструменты, которые они представляют, впечатлят вас ещё сильнее. У МТС большая
[[4:54 | t=294]] база собственных решений на базе технологий Big Data и не только. Очень много, как раз-таки пользы для оптимизации ваших рекламных кампаний и запуска новых каналов, например, таких как SMS, реклама в Connected TV, многое многое многое другое. Сейчас переходим уже к мясу, но для начала всем зрителям напомню важные моменты, правила игры на наших
[[5:24 | t=324]] онлайн-конференциях. У каждого спикера есть 20-25 минут на доклад своей экспертной части. И потом с каждым спикером, с моей помощью мы отвечаем на вопросы, которые задаёте в прямом эфире нам вы. отдельная просьба использовать для вопросов специальную вкладку, которая так и называется: вопросы. Именно из этой вкладки после выступления спикера я буду зачитывать ему вопросы, и мы будем давать на них ответ. Если
[[5:55 | t=355]] просто будете писать вопросы в чат, к сожалению, они могут потеряться, и мы не сможем ответить ни в прямом эфире, ни даже потом письменно. Это будет для нас очень трудно. Мы хотим дать вам максимальную пользу, максимальную прозрачность в общении со спикерами. И ещё раз подчеркну, что для этого нужно задавать свои вопросы в соответствующий раздел чата вопросы. Просто в чате можете писать свои мнения, дискутировать, отвечать на вопросы, которые задают спикеры, там ставить
[[6:27 | t=387]] плюсики, галочки 1 2 3 и так далее, и так далее. Надеюсь, мы с вами договорились. Вот давайте потренируемся. Ставьте плюсы. Если вы меня услышали, мне будет очень приятно, что мы с вами на одной волне. И теперь переходим уже к экспертной части. Вот Даниил, Вася, спасибо вам большое. Кирилл, оперативные ребята. Сергей, могу повторить ещё, если это будет необходимо. В принципе, на протяжении вебинара буду этим
[[6:57 | t=417]] заниматься. Открыт нашу онлайн-конференцию сегодня Иван Фёдоров, продуктовый менеджер платформы МТС маркетолог. И Иван, ты уже в прямом эфире. Да. Да. Коллеги, добрый день. Рад всех приветствовать. Егор, отдельно. Как твои дела? Как настрой? Как заряд? Дела отлично. Настрой рабочий, боевой. Всё хорошо. А твои? Я счастлив. Я счастлив быть тут. что мы
[[7:28 | t=448]] с тобой в прямом эфире. Сейчас послушаю то, что ты нам принёс, эту мясную информацию, потом мы с тобой пообщаемся. Для меня это сущее удовольствие. Вообще передаю тебе слово и желаю отличного выступления. Спасибо, слово забрал. Коллеги, ещё раз добрый день. Э сегодня мы поговорим с вами о старом новом канале SMS, как он работает в связке с бидатой.
[[7:58 | t=478]] и как искать там хороший целевой трафик за очень вменяемые окупаемые средства. Но для начала, да, давайте небольшой техчек проведём специально для меня. Покидайте кто-нибудь, пожалуйста, плюсики, если меня прямо хорошо видно и слышно и всё здесь замечательно. Буду очень благодарен. Да, Василий, спасибо. А, Илья со мной поздоровался. Илья, добрый день, поэтому я тоже полагаю, что всё о'кей. Александр, спасибо. Всё, будем считать это успехом. Да, давайте переходить уже к самой презентации. Для
[[8:29 | t=509]] начала немножко познакомимся со мной. Меня зовут Иван Фёдоров. Я продукт платформы МТС маркетолог. В рекламе уже работаю почти 10 лет. В рекламных системах МТС более 7 лет. Э на платформе МТС маркетолог занималась сервисной роли, помогал малому и среднему бизнесу запускать компании по всей стране. Потом перешёл в аккаунтинг крупного бизнеса и сейчас уже более 2 лет работаю, развиваю продукт, соответственно, уже в продуктовой команде. Э от вас м просьба
[[9:03 | t=543]] и предложение в вопросы. Пишите, откуда вы, какой у вас бизнес, и в конце разберём несколько кейсов или, может быть, даже все, как там тайминг, э, какие каналы выбирать, какие таргеты, как вообще рекламироваться с прицелом на таргетированные рассылки и Telegram. Теперь переходим к знакомству самой платформы. Немного базовой информации для тех, кто, может быть, ещё не успел попользоваться
[[9:33 | t=573]] платформой МТС Маркетолог. Тест маркетолог - это платформа для запуска рекламы и для работы со своей базой в классических телекомканалах, таких как SMS, MMS, RCS. Об этом всё расскажу в Телеграме и других digital каналах. Э она сделана с простым удобным интерфейсом. Работаем по модели Selfice именно с точки зрения интерфейса платформы. Любой человек, даже если он никогда не запускал компании, может на ней запуститься. Мы поддерживаем и по
[[10:05 | t=605]] горячей линии, которую вы можете видеть на слайде. Также у нас есть своё медиа, где делимся советами, стратегиями. А, ну и, разумеется, онбординг на платформе есть по всем каналам, очень простой и понятный. Тем не менее, у нас есть модели Full Servвис, когда вам, в принципе, не нужно заходить в кабинет, просто управляете любым удобным способом через своих, э, персональных менеджеров, компаниями, бюджетами, запусками и остальным. Запуститься у нас можно с любым бюджетом. Это касается всех
[[10:36 | t=636]] каналов. Мы не ставим какие-то высокие планки. Буквально можно тестировать самые маленькие гипотезы. Это как раз очень хорошо для ABC тестирования и так далее, когда ещё непонятно, кого именно из аудитории нужно привлечь, да, к своему продукту. Сейчас мы вернёмся м к названию, да, к теме нашего разговора. А а почему, собственно, SMS? Часть ответа лежит в особенностях SMS и других таргет-рассылок. Об этом мы немножко позднее поговорим. Ну а вторая
[[11:08 | t=668]] часть кроется в вызовах digit рынка, с которым мы все сталкиваемся в современности. А я думаю, все слышали про баннерную слепоту. Здесь вообще нет ничего нового. Очень много новых площадок. Реклама привлека проникает во все наши там практические сервисы, которыми мы пользуемся. И эти баннеры просто уже там практически не замечаются. Люди их проглядывают, э, не вылавливая информацию. А если вылавливают, то концентрация снижается. Сейчас по исследованиям это 8 секунд, она будет падать дальше. Очень мало
[[11:39 | t=699]] времени у рекламодателя для того, чтобы зацепить э своим офером, своей идеей целевую аудиторию. Также по данным исследовании более 70% респондентов не доверяет баннерной рекламе. Это связано и с визуальным шумом, который она создаёт, и в целом, что её слишком слишком много и нету времени разбираться, что здесь и как. Э, поэтому нужно на эти вызовы как-то ответить. Наш ответ, который мы разбираем в рамках данного разговора, данной встречи, это
[[12:11 | t=731]] таргетированные рассылки. Классический телекоминструмент, который, по большому счёту, никогда ээ по-настоящему не погибал и по-разному возрождается. Это и SMS, MMS, и RCS. Э, у нас вы можете запускаться на более чем 65 млн абонентов, которые дали своё согласие на другие рассылки. CTR там сильно выше, чем в медийке, но здесь есть свои особенности, тоже скажу чуть позднее. Сэмэски открывают, ээ, по некоторым сферам, разумеется, более удобно для нас
[[12:41 | t=761]] Open Rate составляет до 97%. Если смотреть прямо среднюю температуру по больнице, то он где-то 80-85%. Э, эсэмэски все знакомы с этим форматом. Это текстовое сообщения от индивидуального нейминга. С mmс тоже, я думаю, да, это примерно то же самое, только не нужно беспокоиться о длине, которая влияет на стоимость в SMS. А, и плюс можно прикпить какой-то визуал. Очень подходит там для строительного бизнеса, для бизнеса э пищевого, для бьюти индустрии,
[[13:13 | t=793]] где очень легко можно показать ээ свой товар и услугу на красивом визуале. RCS - это новый формат, он в России доступен только у МТС. И если быть прямо точнее, то работает он только на телефонах Samsung на данный момент. Э, он кроется там же в приложении сообщения на всех ваших телефонах, только превращает эти сообщения в месengжер или если кто там пользуется айфонами, то message. То есть там можно и карусели товаров ээ вставлять в
[[13:45 | t=825]] коммуникацию, и текст может быть практически любой длины, кнопки, ссылки, э персонализированный профиль, куда можно перейти сообщения, увидеть красивую обложку, какие-то дополнительные сведения, ссылки о компании и услугах, которую она предлагает. Это вот весь пул рассылок, которые есть в принципе, и мы его покрываем. Всё это, разумеется, не работает без данных. У нас в МТС и, в частности, в МТС маркетологи есть своя отдельная
[[14:15 | t=855]] команда Bigdata в МТСе, которая занимается только сегментами для нас. Коллеги анализируют более 5.000 метрик, выявляют и портреты по соцдем признакам, также и поведенческие характеристики для формирования сегментов там по интересам, по виду деятельности, по каким-то путешествиям. Всё, что касается людей, очень важная ремарка. Разумеется, мы работаем только с агрегированными и деперсонализированными данными. Мы не смотрим никому за плечо. Для нас это
[[14:46 | t=886]] всё, э, работающие скрипты, которые нам как итог выдают числа абонентов, которые подходят под ту или иную рассылку, под какой-то запрос, и на них же всё это рассылается. Основные источники у нас это и мобильные приложения, каким пользуются абоненты. Сюда же идёт интернетаактивность, если это веб версии, SMS-активность. Никаких личных переписок имеется в виду, какие компании присылают ээ э
[[15:20 | t=920]] сообщения, а значит, что человек с ними взаимодействует, да, можно понять, что он, допустим, интересуется э автомобилями, если там часто ему присылают различные там сервисы или другие автомобильные тематики. сообщения, покупательская активность, звонковая активность, с какими компаниями коммуницирует часто какой-то какой-то человек, какая-то группа людей, э, и точное геопозиционирование в плане, где эти сегменты людей отдыхают, где они живут, где работают, где, в принципе, проводят время и в том числе, э, на регулярной
[[15:51 | t=951]] или какой-то разовой основе. Все сегменты обновляются регулярно. У нас стоит автоматический э мониторинг. Следим за эффективностью этих сегментов в реальном времени. Если видим, что какой-то где-то просел по логике, то уже залезаем внутрь и разбираемся. Может быть, стоит логику сбора поменять, чтобы он снова перфомил лучше. Про бигдату поговорили, теперь переходим про воронки. На каких воронках вообще работают таргетировные рассылки?
