[[0:05 | t=5]] [музыка] Всех приветствую. Мы с вами постепенно
[[0:36 | t=36]] будем начинать нашу онлайн-конференцию. Да, интересный комментарий, что неровно, но что есть время. Всё это относительно. Тем более чуть-чуть подождали, чтобы нас стало ещё больше, и мы с вами могли как раз всё тут начать. Напомню, что мы сегодня проводим, у нас будет три спикера и как раз представители трёх компаний, которые мы видим сейчас перед собой на экране. Вопросы обязательно задавайте. Вот как раз можно в отдельной вкладке вопросы всё это делать. В чате тоже
[[1:07 | t=67]] здорово, но вопросы, чтобы мы как раз фиксировали и спикеры не потеряли, потому что коммуникация - это всегда важно. Немножко погрузимся, немножечко организационных моментов для того, чтобы нас опять же стало ещё больше и наши первый спикер уже готовится. Конференция проводится от нас, от Витамин Tols. Партнёров сейчас дальше ещё представлю. Сначала о нас расскажу. Мы рекламная экосистема, через которую можно завести, да, и нужно заводить рекламные кабинеты и через нас их пополнять. Тем более, что от пополнения
[[1:38 | t=98]] происходит возврат до 18%. Более того, э мы предоставляем ещё бесплатный доступ к рекламным инструментам, конструктору лендинга Pгенератор. А ещё у нас есть овердрафт, постоплата и другие бонусы, в частности и помощь в прохождении модерации. Мы на короткой ноге с техподдержками разных систем. А ещё маркировка рекламы, всё автоматически происходит и становится намного легче. И этот головняк ты из себя убираешь. Если как раз сравнивать с другими похожими
[[2:08 | t=128]] платформами, мы как раз вот про маркировку сказал, то, что у нас происходит оперативное поступление средств на счёт личного кабинета, с которого уже происходит перераспределение на рекламные кабинеты. И как раз мы помогаем ещё предоставлять закрывающие документы, опять же, для бухгалтерии, для заказчиков, чтобы всё это фиксировалось, всё было чётко и никаких вопросов не возникало. Всё, чтобы по финансамбилось. Винтик к винтику сходился.
[[2:38 | t=158]] А наша платформа существует уже довольно долго, больше 6 лет. И за это время через нас прошло больше 9 млрд руб. бюджета. И больше 9.000 клиентов как раз работает с рекламой. И через нас всё это происходит. в том числе, конечно, Telegrams. В общем-то, мы являемся реселлером, через который можно пополнять и, скажем, на минимальных порогах входа как раз всё это и делать, а не 2 млн евро, если напрямую. А также призываю подписаться. Так, звука если
[[3:10 | t=190]] нет, а давайте проверим, поиграем немножечко в калькулятор. Поставьте плюсик или минусик, ээ, если вы меня видите, слышите и видите сейчас презентацию, и там написано: "Подписывайтесь". Так, есть плюсики, всё хорошо. Если звука нет, тогда, да, можно на экран нажать или на всякий случай кнопка перезагрузки наше всё, айтишный совет может всегда тут сработать. Есть, спасибо. А есть плюсики. Так вот, ещё приглашаю подписаться на наш ВК видео,
[[3:40 | t=220]] собственно, вот он как раз QR-кодик здесь висит, чтобы также следить за другими нашими конференциями, записями, которые мы выкладываем. Если что, сразу объясню, что вот эта конференция, естественно, записывается, она будет отправлена всем, кто зарегистрировался, и также мы как раз её выложим и в публичном доступе в наших социальных сетях, так чтобы можно было, конечно, пересмотреть. Ну или кто смотрит записи, всё равно вопросы ведь можно тогда в комментариях под ними оставлять. Но здорово, кто подключился в онлайне,
[[4:10 | t=250]] потому что вот будет прямая коммуникация и всё, можно общаться со спикерами. Ещё, конечно, приглашаю на Telegramканал подписаться. Куда ж без него? Telegram важная штука. И сегодня про него ещё в конце буду как раз говорить про его возможности. Поэтому тоже подписывайтесь. Там, кроме записей. Мы ещё и делимся полезными статьями, мэмчиками, куда же без них. Главное, что здесь мы с вами держим руку на пульсе, что происходит на рынке с инструментами, что появляется нового у Телеграма, у Яндекс-директора, короче, много-много всего, так, чтобы тоже было полезно и
[[4:41 | t=281]] практично брать себе в работу. Вот теперь представляю наших партнёров. И там мы уже будем переходить как раз к основной части с организатора конференции. Платформа лименеджмента Калибри. Кто-то знает их как сервис колтрекинга, и это действительно один из флагманских продуктов. Но при этом у Калибри есть не только такой инструментарий, а ещё сервисы аналитики, рекламы, виджеты, повышения конверсии сайта, попапы, чатбот, SMS-рассылки и
[[5:11 | t=311]] другие инструменты лидогенерации. так, чтобы всё это было как раз эффективно и в одном месте можно было это всё контролировать и собирать. Также с нами сегодня SMMпнер, сервис для создания и управления контентом. Возможно, тоже кто-то знает, кто-то на слуху, э, уже, возможно, кто-то пользуется. И это тоже здорово, потому что вот мы все находимся на одном рынке и, а, друг друга так знаем и поддерживаем. Э, при этом по SMM-планеру - это не только автопостинг, конечно, опять же, тоже одна из флагманских услуг и флагманских
[[5:41 | t=341]] продуктов, но при этом у SMM-планера зашиты нейросети, можно как раз использовать и и ассистентов, собственно, там есть и сэмэмщик, аналитика соцсетей. Естественно, когда мы всё это подключаем, будем постить, то в итоге нужно отслеживать эффективность. И при этом есть ещё холст для того, чтобы создавать изображение, потому что визуал важная часть вообще, в принципе, любого инструмента интернет-маркетинга, да, и оффлайн-маркетинга, ну и в соцсетях уж особенно. У SMM-планера 11 соцсетей, естественно,
[[6:13 | t=373]] много как раз тех самых популярных, с которыми и важно работать, о которых говорят заказчики, специалисты используют, потому что так или иначе есть аудитория. Много уже постов через SMM-планер прошло, собственно, давно на рынке они есть. И много пользователей, больше 180.000, каждый день заходят и, в общем-то, работают с этим самым инструментом. Поэтому здорово, что так мы все сегодня и собрались. Вот. Ну, а теперь буду передавать микрофон нашему первому спикеру Анастасии Никулиной,
[[6:43 | t=403]] директор по маркетингу Калибри. Анастасия, проверим, как ли ты. Так, отлично. >> Да, привет. Привет. А расскажи, как ты относишься, как ты относишься к аналитике, почему для тебя это важно? А к аналитике я, наверное, отношусь прекрасно, э потому что м наша работа непосредственно связана с созданием сервисов аналитики. Ну и как директор по
[[7:14 | t=434]] маркетингу, наверное, я отвечаю, да, за всё наше продвижение, соответственно без, э, конкретных цифр, без конкретных данных, которые даёт наша система, коллеги по рынку, невозможно как-то выстроить нормальную стратегию, невозможно принимать решения и в моменте долгосрочные, поэтому аналитика супер, а всегда важна и нужна. Согласен, золотые слова, потому что в итоге на цифрах-то мы все как раз уже спокойны Львы, Толсты и на бумаге, и в
[[7:44 | t=464]] деле, >> да? >> Хорошо, давай разбираться тогда в каналах. Передаю тебе микрофон. >> Да, спасибо. А, коллеги, привет. А действительно, будем сегодня а с вами говорить про, э, разные маркетинговые каналы, э, все, кроме популярного, да, перфоманс-канала ЯндексДиректа. Давайте, буду начинать и коротко расскажу о себе. Действительно, меня зовут Настя Никулина. Я руковожу маркетингом в Калибре. У меня довольно обширный опыт в маркетинге. А больше 10
[[8:16 | t=496]] лет я занимаюсь интернет-маркетингом. И у меня бэкграунд как в коммерческих, так и некоммерческих ээ проектах. Ну и уже 4 года я работаю в калибре и руковожу, соответственно, командой маркетинга. А перед тем, как мы с вами начнём, говорить мы будем сегодня и про то, что работает у нас, и так, вижу, что пропадает звук. А скажите, всем ли слышно или только у
[[8:48 | t=528]] части пользователей проблемы? Ну, супер. Значит, понятное дело, как бы интернет у всех последнее время, да, не очень хорошо может работать. Это нормально. Нам, наверное, стоит привыкнуть, что могут быть неполадки. Поэтому буду я продолжать. Обязательно все вопросы задавайте в чат, задавайте в графу вопросы, разберём их после, э, моего выступления. В общем, про что сегодня буду говорить? Э, расскажу
[[9:19 | t=559]] немножко про инсайты от нашего исследования больших данных в Калибре и расскажу про каналы, которые работают у нас и как мы их используем, как их применять. Но прежде чем буду переходить к делу, давайте с вами немножко порассуждаем. А-э, так как у нас тема альтернативные каналы, напишите, какие каналы маркетинговые вы считаете альтернативными, и я вам дам секунд 30.
[[9:55 | t=595]] Так, а вижу в чате уже начали коллеги писать, да, Авито, да, э, Telegrams, согласна с вами. Может быть, ещё какие-то варианты? Пиар. Ну, пиар довольно классический канал, но с учётом того, что сегодня мы в основном многие бизнесы сореточены на перфомансе, да, возможно, ВКТ, вебинары, да, э, действительно, ээ
[[10:27 | t=627]] альтернативных каналов много в каждой нише, э, они свои, да, то есть для кого-то это могут быть геосервисы, для кого-то Авито. Для кого-то альтернативный канал SEO продвижения, кто-то считает площадку Аomмен альтернативным каналом и даже умеет с неё получать заявки. Ну, э, в общем, понятно, что их очень много, и все они на слайд, безусловно, не поместятся. Э, что хочу сказать? Во-первых, нам с вами нужно привыкать, э, что у нас с вами больше нет
[[10:58 | t=658]] альтернативных каналов, и они никакие больше не какие-то новенькие. Это очень даже обычные каналы продвижения. И вот почему, э, я пару лет назад выступала с похожей темой и хочу вам показать один слайд. В общем, даже в двадцать третьем году у нас с вами был такой довольно большой ассортимент каналов, с которыми мы могли работать. А теперь, мм, в двадцать пятом году ээ всё довольно сильно поменялось и поменялся контекст, да. Что мы с вами
[[11:30 | t=690]] видим? Ну, во-первых, ээ количество каналов у нас уменьшается, всё адски дорожает. В сентябре, например, запрещённый Instagram у нас с вами совсем отваливается, потому что мы не сможем там делать официальных интеграций и м можно только, например, выдумывать какие-то рискованные форматы нативные, но я бы вам не рекомендовала так делать, потому что это а всё-таки уже история про штрафы и нарушение закона, да. А что ещё интересно, да? То есть в какой-то момент мы все с вами очень активно
