[[0:04 | t=4]] [музыка]
[[0:36 | t=36]] Всем привет, дорогие друзья. Меня зовут Егор Апрелов. Я директор по партнёрскому маркетингу в компании Vitamin Tools. И сегодня у нас с вами битва кейсов. Сегодня у нас тема битвы кейсов - это окупаемый трафик в нише, строй материалов. Пока все собираются, давайте мы с вами немножечко познакомимся. Пожалуйста, напишите в чат, чем вы занимаетесь. условно, представитель вы клиента или агентства, которое продвигает компании в нише стройматериалов, нише малоэтажки и так далее. Заодно я увижу в чате ваши имена.
[[1:09 | t=69]] Давайте посмотрим, кто здесь вообще собрался у нас сегодня. Так, говорят, что с видео у меня проблемы. Давайте сейчас попробуем перезагрузиться и посмотрим, что у нас получается. 2 секунды. 1 2 3. Так, лучше виднослы, есть ли связь, видно ли изображение, всё ли нормально.
[[1:43 | t=103]] Напишите мне, пожалуйста, плюсы в чат, если всё меня видно и всё хорошо. Так, коллеги подскажут, что всё ещё плохо. Так, 2 секунды. Всё, вижу, плюсы в чате. Отлично, прекрасно, отлично. Поехали дальше, друзья. Извиняюсь за небольшую техническую заминку. Давайте, пока все собираются, я расскажу вам буквально несколько слов про организаторов, а потом мы пройдёмся по регламенту и по технической части нашего выступления.
[[2:15 | t=135]] Организатор сегодняшней битвы - это компания Vitamin Tools. Vitamin Tools - это рекламная экосистема, которая помогает вам возвращать до 18% от рекламного бюджета. Помимо этого, в экосистеме есть несколько клёвых инструментов для оптимизации рекламных компаний, к которым мы даём доступ. Например, конструктор лендингов, гиперсегментация, а-тестирование и так далее. У нас есть возможность подключать овердрафт и постоплату для наших клиентов. А также у нас очень хорошая отзывчивая техническая поддержка, которая помогает проходить модерацию для
[[2:47 | t=167]] таких особенно сложных каналов, как, например, Telegrams. Поэтому, если у вас есть проблемы с модерацией, тоже к нам можно писать. По этому поводу мы тоже решаем. Собственно, если говорить про наши отличия, то ключевое наше отличие от других платформ - это механика начисления процента. Мы не ждём, пока вы потратите все деньги на рекламу, а возвращаем до 18% от бюджетов сразу в момент пополнения. В среднем вывод занимает в районе 3 дней. Это говорит нам о том, что вы можете достаточно быстро этими деньгами оперировать,
[[3:17 | t=197]] которые вам приходят как процент. Вы можете их реинвестировать в рекламную кампанию, либо же вывести себе на счёт использовать дальше там, где это вам необходимо. За 6 лет работы с нами сейчас сотрудничает порядка 9.000 с копейками клиентов. Я надеюсь, что в этом году мы достаточно быстро перешагнём планку в 10.000. И порядка 9 млрд рекламного бюджета через нас инвестировано во всевозможные рекламные каналы. Будет таргетированная реклама, контекстная, Telegramс маркетолог и так далее. А хочу сразу ответить на вопрос,
[[3:49 | t=229]] который возникает на большинстве конференций. Будет ли её запись? Да, запись конференции будет. Её можно найти на наших публичных каналах. У нас их несколько. Первое - это наш YouTube. Там мы выкладываем все записи битв, конференций, вебинаров, любые материалы, которые мы снимаем в формате видео. Также можно посмотреть эти же видеозаписи в ВК видео. Вот вам QR-код, пожалуйста, переходите, подписывайтесь. И помимо этого хочу отметить, что большинство мероприятий такого профиля мы анонсируем в нашем Telegram-канале.
[[4:20 | t=260]] И, собственно, на него тоже можно подписаться, чтобы быть к нам чуть-чуть ближе и видеть анонсы следующих клёвых мероприятий. А давайте немножечко пройдёмся по организационным моментам, как у нас будет проходить битва. У нас сегодня заявлено семь кейсов, семь участников. У каждого спикера будет ровно 15 минут на презентацию кейса. После каждого выступления у спикера будет 5 минут ответа на вопросы. Вопросы я буду читать ваши из чата. Буду читать их спикеру, он
[[4:51 | t=291]] будет на них отвечать. Пока спикер будет отвечать на вопросы, на вашем экране появится интерактивный слайд голосовалка, где вы можете проголосовать за кейс, который спикер рассказал, по пятибалльной шкале. По результату битвы тот, у кого будет наивысшая средняя оценка, тот и, собственно, победит. Немножко про призы. У нас такое достаточно шуточное мероприятие. Мы хотим просто в какой-то условно неформальной атмосфере пообщаться про эту нишу, про стройматериалы. И поэтому у нас сегодня, э, есть некий
[[5:22 | t=322]] традиционный приз от Vitamin Tools. Мы победителю подарим вот такой вот прекрасный маскот. Это плюшевая игрушка. Это яглёнок. Это наш символ. Они достаточно активно у нас разлетаются. И вот на мероприятиях мы их разыгрываем. Поэтому тот, кто сегодня выиграет, тот получит его либо лично от меня на ближайшей конференции, где мы пересечёмся, либо мы отправим его по почте для того, чтобы вы его получили, у вас всё было хорошо. Собственно, ещё раз скажу, мероприятие позитивное, простое,
